date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:21:54	129/129	---MCZ	200	added ('OK')	text/plain	date:Mon,%2028%20Jun%202021%2015:21:53%20GMT	https://brunoperettiblog.blogspot.com/robots.txt		(from )
12:21:54	137355/137355	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Jun%202021%2015:21:53%20GMT	https://brunoperettiblog.blogspot.com/	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/index.html	(from )
12:21:54	3638/3638	---MCZ	200	added ('OK')	image/x-icon	date:Mon,%2028%20Jun%202021%2015:21:53%20GMT	https://brunoperettiblog.blogspot.com/favicon.ico	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/favicon.ico	(from https://brunoperettiblog.blogspot.com/)
12:21:55	225015/225015	---M-Z	200	added ('OK')	application/atom+xml	date:Mon,%2028%20Jun%202021%2015:21:53%20GMT	https://brunoperettiblog.blogspot.com/feeds/posts/default	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/feeds/posts/default	(from https://brunoperettiblog.blogspot.com/)
12:21:55	204645/204645	---M-Z	200	added ('OK')	application/rss+xml	date:Mon,%2028%20Jun%202021%2015:21:53%20GMT	https://brunoperettiblog.blogspot.com/feeds/posts/default?alt=rss	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/feeds/posts/default9522	(from https://brunoperettiblog.blogspot.com/)
12:21:56	65495/65495	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2028%20Jun%202021%2015:23:10%20GMT	https://brunoperettiblog.blogspot.com/https	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/https.3.delayed	(from https://brunoperettiblog.blogspot.com/)
12:21:56	11802/11802	---M--	200	added ('OK')	text/javascript	date:Wed,%2014%20Apr%202021%2019:28:00%20GMT	https://www.gstatic.com/external_hosted/clipboardjs/clipboard.min.js	C:/My%20Web%20Sites/Page/www.gstatic.com/external_hosted/clipboardjs/clipboard.min.js	(from https://brunoperettiblog.blogspot.com/)
12:21:56	7658/7658	---M-Z	200	added ('OK')	image/svg+xml	date:Mon,%2028%20Jun%202021%2012:51:28%20GMT	https://brunoperettiblog.blogspot.com/responsive/sprite_v1_6.css.svg	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/responsive/sprite_v1_6.css.svg	(from https://brunoperettiblog.blogspot.com/)
12:21:57	99627/99627	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Jun%202021%2015:21:53%20GMT	https://brunoperettiblog.blogspot.com/2021/06/4-exercicios-para-tornear-o-bumbum.html	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/2021/06/4-exercicios-para-tornear-o-bumbum.html	(from https://brunoperettiblog.blogspot.com/)
12:21:57	98028/98028	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Jun%202021%2015:21:53%20GMT	https://brunoperettiblog.blogspot.com/2021/06/quer-afinar-cintura-5-alimentos-que.html	C:/My%20Web%20Sites/Page/brunoperettiblog.blogspot.com/2021/06/quer-afinar-cintura-5-alimentos-que.html	(from https://brunoperettiblog.blogspot.com/)
